property_id,location,property_type,price,bedrooms,bathrooms,square_feet,listing_date,description
B-0001,Los Angeles,Loft,325033.83,4,1.5,1026,2024-12-19,Sample property 1 from Source B. Located in a prime area with great amenities.
B-0002,Atlanta,Apartment,1513976.19,6,2.0,1524,2024-11-18,Sample property 2 from Source B. Located in a prime area with great amenities.
B-0003,Dallas,Loft,1780442.86,6,3.0,1341,2024-02-19,Sample property 3 from Source B. Located in a prime area with great amenities.
B-0004,Los Angeles,Loft,1743714.65,2,2.5,3416,2024-03-06,Sample property 4 from Source B. Located in a prime area with great amenities.
B-0005,Atlanta,Apartment,424180.24,3,2.0,822,2022-06-18,Sample property 5 from Source B. Located in a prime area with great amenities.
B-0006,Portland,Apartment,1120734.71,4,2.0,2861,2024-06-23,Sample property 6 from Source B. Located in a prime area with great amenities.
B-0007,Miami,Apartment,1627378.84,3,4.0,3087,2025-11-06,Sample property 7 from Source B. Located in a prime area with great amenities.
B-0008,San Diego,Apartment,571700.59,1,3.5,3444,2025-11-11,Sample property 8 from Source B. Located in a prime area with great amenities.
B-0009,Atlanta,House,335705.57,3,3.0,2458,2024-08-06,Sample property 9 from Source B. Located in a prime area with great amenities.
B-0010,Atlanta,House,613087.89,2,3.5,3737,2022-05-24,Sample property 10 from Source B. Located in a prime area with great amenities.
B-0011,Atlanta,Loft,1078390.28,5,3.0,630,2023-10-11,Sample property 11 from Source B. Located in a prime area with great amenities.
B-0012,Los Angeles,House,1055283.13,3,3.5,809,2024-11-15,Sample property 12 from Source B. Located in a prime area with great amenities.
B-0013,Portland,Condo,741920.12,1,3.5,1193,2023-02-19,Sample property 13 from Source B. Located in a prime area with great amenities.
B-0014,Los Angeles,Townhouse,1123476.83,2,4.0,1252,2024-08-18,Sample property 14 from Source B. Located in a prime area with great amenities.
B-0015,Atlanta,Townhouse,1364731.19,3,1.0,1854,2025-04-08,Sample property 15 from Source B. Located in a prime area with great amenities.
B-0016,San Diego,Loft,1629564.23,2,4.0,1395,2025-08-26,Sample property 16 from Source B. Located in a prime area with great amenities.
B-0017,Miami,House,1236830.0,3,1.0,1466,2024-06-04,Sample property 17 from Source B. Located in a prime area with great amenities.
B-0018,Miami,Apartment,622524.83,5,4.0,870,2024-09-02,Sample property 18 from Source B. Located in a prime area with great amenities.
B-0019,Portland,Apartment,1218556.61,2,2.5,1683,2022-11-11,Sample property 19 from Source B. Located in a prime area with great amenities.
B-0020,Atlanta,House,892260.93,1,2.0,2669,2023-05-27,Sample property 20 from Source B. Located in a prime area with great amenities.
B-0021,San Diego,Condo,833201.93,2,3.0,1007,2023-08-11,Sample property 21 from Source B. Located in a prime area with great amenities.
B-0022,San Diego,Loft,1581300.35,4,1.5,2856,2023-10-26,Sample property 22 from Source B. Located in a prime area with great amenities.
B-0023,Atlanta,Townhouse,571225.9,6,1.5,796,2023-08-11,Sample property 23 from Source B. Located in a prime area with great amenities.
B-0024,Atlanta,Townhouse,1660971.8,2,1.5,2628,2022-04-06,Sample property 24 from Source B. Located in a prime area with great amenities.
B-0025,Atlanta,Townhouse,1365917.3,6,4.0,1929,2022-04-26,Sample property 25 from Source B. Located in a prime area with great amenities.
B-0026,Los Angeles,House,411754.66,1,2.5,2635,2025-04-12,Sample property 26 from Source B. Located in a prime area with great amenities.
B-0027,Dallas,Townhouse,961851.67,5,1.5,3038,2023-12-15,Sample property 27 from Source B. Located in a prime area with great amenities.
B-0028,Los Angeles,House,363025.78,5,1.0,3627,2022-04-16,Sample property 28 from Source B. Located in a prime area with great amenities.
B-0029,Los Angeles,Loft,563723.47,5,4.0,1251,2022-05-10,Sample property 29 from Source B. Located in a prime area with great amenities.
B-0030,Phoenix,Loft,914551.46,1,1.5,3756,2024-06-16,Sample property 30 from Source B. Located in a prime area with great amenities.
B-0031,San Diego,Loft,933000.58,1,4.0,2194,2023-11-01,Sample property 31 from Source B. Located in a prime area with great amenities.
B-0032,Los Angeles,Townhouse,1106159.14,5,2.5,2850,2022-03-24,Sample property 32 from Source B. Located in a prime area with great amenities.
B-0033,Dallas,House,1514116.54,5,4.0,1395,2024-04-16,Sample property 33 from Source B. Located in a prime area with great amenities.
B-0034,Dallas,Condo,799744.83,1,2.0,3221,2022-01-20,Sample property 34 from Source B. Located in a prime area with great amenities.
B-0035,Portland,Loft,1564079.67,6,4.0,2626,2024-09-13,Sample property 35 from Source B. Located in a prime area with great amenities.
B-0036,Phoenix,Townhouse,1719130.04,4,2.5,1798,2022-03-28,Sample property 36 from Source B. Located in a prime area with great amenities.
B-0037,Phoenix,Loft,1389687.93,4,2.0,2493,2025-11-07,Sample property 37 from Source B. Located in a prime area with great amenities.
B-0038,Portland,Townhouse,1231433.76,6,2.0,2414,2025-08-23,Sample property 38 from Source B. Located in a prime area with great amenities.
B-0039,Miami,Loft,803036.02,1,3.5,3633,2022-08-05,Sample property 39 from Source B. Located in a prime area with great amenities.
B-0040,Los Angeles,Loft,267591.06,6,3.0,1937,2025-10-11,Sample property 40 from Source B. Located in a prime area with great amenities.
B-0041,Portland,Apartment,769590.53,3,2.0,1467,2025-01-08,Sample property 41 from Source B. Located in a prime area with great amenities.
B-0042,San Diego,Condo,1729824.9,6,2.5,3206,2022-05-12,Sample property 42 from Source B. Located in a prime area with great amenities.
B-0043,Phoenix,Apartment,1139387.87,2,1.5,3333,2023-04-24,Sample property 43 from Source B. Located in a prime area with great amenities.
B-0044,San Diego,Loft,302681.69,6,2.5,3514,2023-10-26,Sample property 44 from Source B. Located in a prime area with great amenities.
B-0045,Portland,House,324233.81,2,2.0,1505,2025-04-08,Sample property 45 from Source B. Located in a prime area with great amenities.
B-0046,Los Angeles,Townhouse,1130167.28,6,2.5,3067,2023-11-11,Sample property 46 from Source B. Located in a prime area with great amenities.
B-0047,Dallas,Townhouse,903243.28,6,1.0,2085,2025-06-04,Sample property 47 from Source B. Located in a prime area with great amenities.
B-0048,Atlanta,Townhouse,1777325.01,4,1.5,2159,2024-12-02,Sample property 48 from Source B. Located in a prime area with great amenities.
B-0049,San Diego,Condo,1239830.11,4,2.5,3168,2024-02-04,Sample property 49 from Source B. Located in a prime area with great amenities.
B-0050,Dallas,Townhouse,1038799.07,2,2.5,2390,2025-06-23,Sample property 50 from Source B. Located in a prime area with great amenities.
B-0051,Miami,Apartment,1427692.11,4,4.0,2967,2023-07-22,Sample property 51 from Source B. Located in a prime area with great amenities.
B-0052,Miami,Apartment,948887.4,5,3.0,3573,2025-02-12,Sample property 52 from Source B. Located in a prime area with great amenities.
B-0053,Dallas,Loft,1299723.02,2,3.5,1909,2024-05-28,Sample property 53 from Source B. Located in a prime area with great amenities.
B-0054,Miami,Loft,566672.68,5,1.0,1570,2025-07-28,Sample property 54 from Source B. Located in a prime area with great amenities.
B-0055,Miami,Condo,1000937.03,6,1.0,1848,2025-10-19,Sample property 55 from Source B. Located in a prime area with great amenities.
B-0056,Miami,Loft,1798712.09,6,3.0,1201,2024-09-17,Sample property 56 from Source B. Located in a prime area with great amenities.
B-0057,Portland,House,441909.51,4,3.5,2322,2024-08-11,Sample property 57 from Source B. Located in a prime area with great amenities.
B-0058,Los Angeles,Townhouse,275560.18,2,2.5,770,2023-06-02,Sample property 58 from Source B. Located in a prime area with great amenities.
B-0059,Phoenix,Loft,597578.35,4,4.0,1337,2022-10-17,Sample property 59 from Source B. Located in a prime area with great amenities.
B-0060,Dallas,Apartment,1681957.14,1,4.0,1702,2024-06-21,Sample property 60 from Source B. Located in a prime area with great amenities.
B-0061,Portland,Apartment,1197444.15,5,4.0,2821,2022-02-06,Sample property 61 from Source B. Located in a prime area with great amenities.
B-0062,Atlanta,Loft,422362.09,2,4.0,3333,2022-05-20,Sample property 62 from Source B. Located in a prime area with great amenities.
B-0063,Los Angeles,Apartment,682023.83,1,1.5,2239,2024-06-20,Sample property 63 from Source B. Located in a prime area with great amenities.
B-0064,Los Angeles,Apartment,991709.56,2,3.0,2991,2022-10-03,Sample property 64 from Source B. Located in a prime area with great amenities.
B-0065,Los Angeles,Apartment,753634.31,6,1.5,1258,2024-03-11,Sample property 65 from Source B. Located in a prime area with great amenities.
B-0066,Dallas,Apartment,1474240.79,4,2.5,3216,2023-03-08,Sample property 66 from Source B. Located in a prime area with great amenities.
B-0067,Dallas,Townhouse,1529033.85,3,3.0,2988,2023-01-04,Sample property 67 from Source B. Located in a prime area with great amenities.
B-0068,San Diego,House,1306706.17,4,3.5,2741,2023-09-05,Sample property 68 from Source B. Located in a prime area with great amenities.
B-0069,Portland,Apartment,1184424.48,2,2.5,1024,2024-12-25,Sample property 69 from Source B. Located in a prime area with great amenities.
B-0070,Miami,Townhouse,1325841.28,4,3.5,1428,2023-05-22,Sample property 70 from Source B. Located in a prime area with great amenities.
B-0071,San Diego,Condo,1094554.71,6,1.0,3171,2023-02-27,Sample property 71 from Source B. Located in a prime area with great amenities.
B-0072,San Diego,Loft,663821.65,6,2.5,3396,2024-03-24,Sample property 72 from Source B. Located in a prime area with great amenities.
B-0073,San Diego,Apartment,1603891.17,1,2.0,3487,2025-09-23,Sample property 73 from Source B. Located in a prime area with great amenities.
B-0074,Phoenix,Condo,493508.88,3,4.0,1448,2022-09-14,Sample property 74 from Source B. Located in a prime area with great amenities.
B-0075,Los Angeles,Loft,1120503.37,3,3.0,2737,2024-10-25,Sample property 75 from Source B. Located in a prime area with great amenities.
B-0076,Los Angeles,Townhouse,913486.07,5,4.0,1794,2023-12-02,Sample property 76 from Source B. Located in a prime area with great amenities.
B-0077,Phoenix,Townhouse,830330.79,6,3.0,785,2025-02-28,Sample property 77 from Source B. Located in a prime area with great amenities.
B-0078,Phoenix,Apartment,1154531.06,2,3.5,2545,2025-10-03,Sample property 78 from Source B. Located in a prime area with great amenities.
B-0079,Portland,Loft,415548.35,2,1.0,3495,2024-11-21,Sample property 79 from Source B. Located in a prime area with great amenities.
B-0080,Phoenix,Condo,630329.59,4,3.5,1551,2023-01-01,Sample property 80 from Source B. Located in a prime area with great amenities.
B-0081,Atlanta,Townhouse,1263709.62,2,2.0,1581,2025-09-18,Sample property 81 from Source B. Located in a prime area with great amenities.
B-0082,Dallas,Loft,953129.96,6,2.5,1855,2022-10-16,Sample property 82 from Source B. Located in a prime area with great amenities.
B-0083,San Diego,Condo,1790218.42,6,1.0,1437,2023-03-15,Sample property 83 from Source B. Located in a prime area with great amenities.
B-0084,Dallas,Condo,754207.26,3,2.5,736,2023-04-12,Sample property 84 from Source B. Located in a prime area with great amenities.
B-0085,Portland,House,453657.99,6,4.0,2942,2022-02-14,Sample property 85 from Source B. Located in a prime area with great amenities.
B-0086,Atlanta,Condo,847037.83,3,3.0,1525,2025-03-13,Sample property 86 from Source B. Located in a prime area with great amenities.
B-0087,San Diego,Loft,1432132.99,4,3.0,1983,2024-11-03,Sample property 87 from Source B. Located in a prime area with great amenities.
B-0088,Dallas,House,589684.63,4,1.0,3096,2024-07-12,Sample property 88 from Source B. Located in a prime area with great amenities.
B-0089,San Diego,Loft,320664.98,5,1.5,2364,2022-02-18,Sample property 89 from Source B. Located in a prime area with great amenities.
B-0090,Dallas,Townhouse,906152.31,2,1.0,2435,2025-10-13,Sample property 90 from Source B. Located in a prime area with great amenities.
B-0091,Atlanta,Townhouse,390268.11,2,4.0,1797,2023-03-02,Sample property 91 from Source B. Located in a prime area with great amenities.
B-0092,San Diego,Loft,1252797.03,1,4.0,1623,2025-08-27,Sample property 92 from Source B. Located in a prime area with great amenities.
B-0093,Phoenix,Condo,1740726.76,5,3.0,860,2023-09-21,Sample property 93 from Source B. Located in a prime area with great amenities.
B-0094,Los Angeles,House,1170486.06,1,4.0,3799,2023-11-19,Sample property 94 from Source B. Located in a prime area with great amenities.
B-0095,Phoenix,House,614495.82,2,3.0,3045,2023-03-02,Sample property 95 from Source B. Located in a prime area with great amenities.
B-0096,Atlanta,Townhouse,523862.21,2,1.0,1829,2024-03-28,Sample property 96 from Source B. Located in a prime area with great amenities.
B-0097,Portland,Condo,305584.89,2,1.0,990,2025-09-02,Sample property 97 from Source B. Located in a prime area with great amenities.
B-0098,Atlanta,Loft,1257114.46,5,2.0,2240,2023-01-04,Sample property 98 from Source B. Located in a prime area with great amenities.
B-0099,Miami,Loft,1448702.82,4,2.0,1390,2023-02-15,Sample property 99 from Source B. Located in a prime area with great amenities.
B-0100,Phoenix,Loft,298605.95,5,1.0,2603,2022-03-10,Sample property 100 from Source B. Located in a prime area with great amenities.
B-0101,Los Angeles,Loft,1085205.74,5,3.0,2320,2022-11-18,Sample property 101 from Source B. Located in a prime area with great amenities.
B-0102,San Diego,House,414989.38,6,3.0,3314,2022-01-02,Sample property 102 from Source B. Located in a prime area with great amenities.
B-0103,Miami,Apartment,1085493.62,5,3.0,1283,2025-02-26,Sample property 103 from Source B. Located in a prime area with great amenities.
B-0104,San Diego,Loft,922164.34,4,1.0,3361,2022-04-23,Sample property 104 from Source B. Located in a prime area with great amenities.
B-0105,Phoenix,Townhouse,537872.93,1,2.0,1828,2022-05-24,Sample property 105 from Source B. Located in a prime area with great amenities.
B-0106,Phoenix,Loft,713680.51,6,3.5,2333,2023-07-20,Sample property 106 from Source B. Located in a prime area with great amenities.
B-0107,Phoenix,Condo,1136371.69,1,1.0,3523,2025-02-06,Sample property 107 from Source B. Located in a prime area with great amenities.
B-0108,Portland,House,1255340.91,4,2.5,2979,2023-06-06,Sample property 108 from Source B. Located in a prime area with great amenities.
B-0109,Miami,Apartment,1095248.21,1,2.0,1359,2025-10-20,Sample property 109 from Source B. Located in a prime area with great amenities.
B-0110,Portland,Condo,1193040.08,1,1.0,2279,2022-09-01,Sample property 110 from Source B. Located in a prime area with great amenities.
B-0111,Phoenix,Apartment,985298.54,3,2.0,1732,2022-10-28,Sample property 111 from Source B. Located in a prime area with great amenities.
B-0112,Portland,Townhouse,318512.85,3,3.5,2662,2025-09-06,Sample property 112 from Source B. Located in a prime area with great amenities.
B-0113,Los Angeles,Condo,1141453.15,4,4.0,1683,2025-04-08,Sample property 113 from Source B. Located in a prime area with great amenities.
B-0114,Phoenix,Townhouse,1688358.38,2,2.5,3048,2024-02-27,Sample property 114 from Source B. Located in a prime area with great amenities.
B-0115,Atlanta,Loft,924838.38,3,1.5,3259,2022-05-08,Sample property 115 from Source B. Located in a prime area with great amenities.
B-0116,San Diego,Townhouse,1564551.78,2,2.5,3067,2022-05-16,Sample property 116 from Source B. Located in a prime area with great amenities.
B-0117,Portland,House,1209391.62,3,3.0,782,2025-08-20,Sample property 117 from Source B. Located in a prime area with great amenities.
B-0118,Miami,Condo,839463.55,4,4.0,1040,2025-09-01,Sample property 118 from Source B. Located in a prime area with great amenities.
B-0119,Phoenix,Loft,979678.98,6,3.0,827,2022-08-06,Sample property 119 from Source B. Located in a prime area with great amenities.
B-0120,Miami,House,1018690.74,3,1.0,3283,2023-03-16,Sample property 120 from Source B. Located in a prime area with great amenities.
B-0121,Atlanta,Loft,696270.96,2,1.5,2331,2025-10-05,Sample property 121 from Source B. Located in a prime area with great amenities.
B-0122,Phoenix,Apartment,426884.23,2,4.0,784,2022-11-07,Sample property 122 from Source B. Located in a prime area with great amenities.
B-0123,Dallas,House,1731618.51,4,2.5,1861,2023-03-01,Sample property 123 from Source B. Located in a prime area with great amenities.
B-0124,Los Angeles,Apartment,1398776.77,4,4.0,1397,2025-04-01,Sample property 124 from Source B. Located in a prime area with great amenities.
B-0125,Portland,Condo,1079304.41,6,1.5,2225,2025-07-25,Sample property 125 from Source B. Located in a prime area with great amenities.
B-0126,Atlanta,Townhouse,1799081.19,1,1.0,1440,2023-07-16,Sample property 126 from Source B. Located in a prime area with great amenities.
B-0127,Phoenix,Apartment,592840.61,5,1.5,1595,2024-08-16,Sample property 127 from Source B. Located in a prime area with great amenities.
B-0128,Atlanta,House,413636.92,6,4.0,1199,2024-01-28,Sample property 128 from Source B. Located in a prime area with great amenities.
B-0129,Portland,Townhouse,415284.15,2,3.5,2904,2025-03-02,Sample property 129 from Source B. Located in a prime area with great amenities.
B-0130,Portland,Townhouse,975087.55,6,1.0,1480,2022-04-27,Sample property 130 from Source B. Located in a prime area with great amenities.
B-0131,Los Angeles,Townhouse,409100.65,2,4.0,1912,2025-09-10,Sample property 131 from Source B. Located in a prime area with great amenities.
B-0132,Portland,House,858941.99,1,1.0,3379,2023-04-04,Sample property 132 from Source B. Located in a prime area with great amenities.
B-0133,Phoenix,Condo,1225293.77,5,3.5,2093,2024-03-21,Sample property 133 from Source B. Located in a prime area with great amenities.
B-0134,Phoenix,House,987051.69,3,2.5,912,2022-04-25,Sample property 134 from Source B. Located in a prime area with great amenities.
B-0135,Los Angeles,Townhouse,462181.74,3,3.5,3662,2022-06-25,Sample property 135 from Source B. Located in a prime area with great amenities.
B-0136,San Diego,Townhouse,1716947.36,6,1.0,639,2024-07-05,Sample property 136 from Source B. Located in a prime area with great amenities.
B-0137,Los Angeles,Loft,327500.44,4,2.0,2196,2023-06-13,Sample property 137 from Source B. Located in a prime area with great amenities.
B-0138,Los Angeles,Townhouse,1007504.44,3,3.0,1531,2022-06-27,Sample property 138 from Source B. Located in a prime area with great amenities.
B-0139,Atlanta,House,315272.28,1,2.0,2537,2025-06-26,Sample property 139 from Source B. Located in a prime area with great amenities.
B-0140,Atlanta,Townhouse,439571.3,3,3.0,3020,2024-07-09,Sample property 140 from Source B. Located in a prime area with great amenities.
B-0141,San Diego,Townhouse,1735449.47,1,1.0,794,2025-03-21,Sample property 141 from Source B. Located in a prime area with great amenities.
B-0142,San Diego,House,1693543.63,5,4.0,3029,2025-12-20,Sample property 142 from Source B. Located in a prime area with great amenities.
B-0143,Phoenix,Townhouse,1738312.25,6,1.0,1830,2024-12-13,Sample property 143 from Source B. Located in a prime area with great amenities.
B-0144,San Diego,Apartment,796300.41,6,3.5,2606,2022-04-14,Sample property 144 from Source B. Located in a prime area with great amenities.
B-0145,Portland,Townhouse,1703469.32,2,2.5,3418,2023-03-15,Sample property 145 from Source B. Located in a prime area with great amenities.
B-0146,Los Angeles,Apartment,1307224.62,6,3.5,2147,2025-07-25,Sample property 146 from Source B. Located in a prime area with great amenities.
B-0147,Portland,Townhouse,1118005.1,5,1.5,719,2024-11-17,Sample property 147 from Source B. Located in a prime area with great amenities.
B-0148,Dallas,Condo,341991.54,1,1.0,2568,2023-03-25,Sample property 148 from Source B. Located in a prime area with great amenities.
B-0149,Atlanta,Townhouse,786187.15,6,1.5,887,2022-09-13,Sample property 149 from Source B. Located in a prime area with great amenities.
B-0150,Los Angeles,House,965763.51,3,3.5,3191,2022-12-10,Sample property 150 from Source B. Located in a prime area with great amenities.
B-0151,Miami,Townhouse,1094641.27,3,2.0,3719,2025-09-20,Sample property 151 from Source B. Located in a prime area with great amenities.
B-0152,Dallas,Apartment,479624.6,4,3.5,1048,2022-05-06,Sample property 152 from Source B. Located in a prime area with great amenities.
B-0153,Miami,Apartment,743251.21,1,3.0,3173,2024-06-07,Sample property 153 from Source B. Located in a prime area with great amenities.
B-0154,Los Angeles,Condo,587747.18,5,4.0,1670,2023-10-18,Sample property 154 from Source B. Located in a prime area with great amenities.
B-0155,Los Angeles,Townhouse,693119.08,4,3.5,900,2022-09-28,Sample property 155 from Source B. Located in a prime area with great amenities.
B-0156,Miami,Loft,290673.97,2,4.0,859,2024-07-14,Sample property 156 from Source B. Located in a prime area with great amenities.
B-0157,Los Angeles,Apartment,344127.43,6,1.0,1768,2024-10-08,Sample property 157 from Source B. Located in a prime area with great amenities.
B-0158,Atlanta,Townhouse,1459956.65,4,2.5,1280,2025-04-17,Sample property 158 from Source B. Located in a prime area with great amenities.
B-0159,Portland,Apartment,576008.41,6,2.5,3308,2025-05-16,Sample property 159 from Source B. Located in a prime area with great amenities.
B-0160,Dallas,Townhouse,1575212.32,3,1.0,1971,2022-01-16,Sample property 160 from Source B. Located in a prime area with great amenities.
B-0161,Miami,House,828981.75,5,2.0,2366,2023-11-22,Sample property 161 from Source B. Located in a prime area with great amenities.
B-0162,Phoenix,Apartment,935232.08,2,3.0,2607,2025-06-27,Sample property 162 from Source B. Located in a prime area with great amenities.
B-0163,Dallas,Townhouse,554756.34,2,1.5,1922,2024-05-12,Sample property 163 from Source B. Located in a prime area with great amenities.
B-0164,Portland,House,254339.59,4,3.0,1846,2022-02-11,Sample property 164 from Source B. Located in a prime area with great amenities.
B-0165,Los Angeles,Loft,641711.51,4,2.5,1756,2023-03-15,Sample property 165 from Source B. Located in a prime area with great amenities.
B-0166,Portland,Loft,288620.73,1,2.5,1875,2023-12-06,Sample property 166 from Source B. Located in a prime area with great amenities.
